latitude,longitude
-33.334550291239466,-70.77612630684408
-33.41672228112607,-70.64694472369918
-33.415270934560866,-70.71859714537487
-33.36578638153539,-70.81116692552729
-33.383150069461685,-70.80004380315204
-33.55339983514684,-70.65200378908906
-33.390880890318044,-70.48107002182068
-33.5575162015922,-70.73328952236541
-33.422964683678664,-70.71942476398992
-33.552152864380695,-70.65964586144204
-33.39691170375659,-70.65164473500863
-33.59717389559959,-70.70842981293562
-33.320390138260855,-70.8134515543616
-33.44179303569172,-70.70965350968605
-33.32574879327336,-70.64755891411542
-33.43936182424683,-70.47568692357939
-33.47784695596255,-70.62735729922132
-33.49685811888634,-70.68909982677016
-33.379259607926244,-70.50553316433785
-33.57814696465187,-70.49530376941982
-33.317073328696345,-70.74318479463771
-33.37810586648605,-70.78105398495227
-33.51695722230617,-70.7501169781436
-33.59052545203705,-70.49569588090661
-33.49498886069874,-70.79896926038921
-33.51660687134961,-70.58764312062748
-33.32913965708405,-70.65688424951745
-33.38346891237997,-70.50706395320351
-33.45099666128733,-70.77927356832043
-33.42650877132606,-70.77653371212138
-33.338014353084716,-70.77659282050718
-33.52523402499519,-70.58975060695614
-33.57643459075369,-70.64740400897892
-33.55665421313846,-70.60562422647322
-33.352604757025986,-70.62278538649201
-33.50141369362583,-70.70868005009729
-33.62709265173282,-70.61984851151841
-33.34046777952199,-70.74154204830113
-33.46080178616614,-70.4857419087589
-33.61614058314818,-70.67686643663298
-33.492600908318195,-70.55258755575554
-33.435820983743255,-70.59951216395027
-33.48301685003323,-70.63669348479472
-33.362263169655556,-70.69981302849023
-33.46107847201804,-70.61122425521435
-33.46573256946246,-70.63542693294929
-33.6227944938006,-70.68302910343745
-33.60771014683692,-70.52508054175046
-33.480124862616385,-70.62586412903408
-33.327359661005666,-70.71321096561718
-33.478487424462955,-70.69235431698182
-33.39663588586129,-70.60324436523756
-33.53914077726771,-70.73487969996488
-33.33204708055261,-70.68016916429525
-33.37339587823171,-70.48803191656033
-33.605070342212606,-70.62297976293152
-33.447301260257355,-70.68878456003915
-33.5713542379556,-70.49360904858335
-33.52134514975768,-70.79933078740548
-33.39582849249555,-70.77369249344406
-33.56798311283823,-70.72495321388512
-33.585986995244724,-70.72020925215604
-33.355923942244175,-70.4972729969521
