latitude,longitude
-33.34218164208584,-70.76104040108494
-33.300313585485675,-70.77110430843982
-33.4151189305142,-70.6032275248323
-33.47261364164798,-70.60527485905979
-33.34125716595049,-70.64211927634184
-33.35102158271014,-70.509554325533
-33.45863634987626,-70.76021830933082
-33.478422023933646,-70.7270721488744
-33.510763551941764,-70.5705269018417
-33.50651272280983,-70.61732280256375
-33.41531871387989,-70.79286403914938
-33.57141233825462,-70.51332488821974
-33.46168757356373,-70.79652689737465
-33.54744437031313,-70.70222675096697
-33.35684179371398,-70.69124860320045
-33.4521272489384,-70.47830430604404
-33.51627413125164,-70.76190157793468
-33.58340864024806,-70.69206191984536
-33.62579860466597,-70.64885554908587
-33.43409044736206,-70.69080635818224
-33.64140954874341,-70.66011143634483
-33.35109992122847,-70.69193421152441
-33.43067092795909,-70.7804340541012
-33.343028552840316,-70.5270440274531
-33.632837915660865,-70.57773353404654
-33.5703423503889,-70.81238422100297
-33.56306685853975,-70.48772656003393
-33.43501831612389,-70.62717355557682
-33.58226225628136,-70.59304811663796
-33.441498159086564,-70.64892848179053
-33.31817235142898,-70.54090094816169
-33.506857816457774,-70.80461831461511
-33.50434554553548,-70.73992956959121
-33.46942343031927,-70.50349277008768
-33.469973759237654,-70.48263896491522
-33.520007103216884,-70.53165974931878
-33.57396225096023,-70.76477945854464
-33.55202289780346,-70.56326366980083
-33.41008767456376,-70.50907789621641
-33.618136569140674,-70.56821281613817
-33.600607162270066,-70.47780572021239
-33.56219966919283,-70.77394207423517
-33.59977483158383,-70.4828842349016
-33.63509839256361,-70.67469853052626
-33.561962530386566,-70.56408674811959
-33.40270825613078,-70.57560603590254
-33.492715350165916,-70.5041514780821
-33.3090822635792,-70.8109832711302
-33.572520684625445,-70.70225809387972
-33.48088199582698,-70.79437276955326
-33.561189604780076,-70.53576657207599
-33.430515056806136,-70.79393448766669
-33.35607666333011,-70.56033403647764
-33.40196672929105,-70.78819723160017
-33.46954205073733,-70.52494549917586
-33.34876188666249,-70.73833684160444
-33.43765360552139,-70.72106887844252
-33.3319700826772,-70.7096317825905
-33.4759850329968,-70.69589907646221
-33.560257764889506,-70.58550633136655
-33.60780884677172,-70.641881685575
-33.368915002429546,-70.71672885876346
-33.46417109903608,-70.77214957191292
-33.5120967011518,-70.73242241525152
-33.45822351306632,-70.75770833388837
-33.49602367671858,-70.78846975072688
-33.63902428519683,-70.53277799586651
-33.378750360637284,-70.60649265407827
-33.38264024148397,-70.5819023010742
-33.583658533175864,-70.80468663937643
-33.50016891101565,-70.76823187412049
-33.5742475397792,-70.4994909398147
-33.415339505477114,-70.67204351224629
-33.31012934317142,-70.70745538693401
-33.6270056261323,-70.48963070887991
-33.454185496711546,-70.52234371152564
-33.41052383382238,-70.51508800388835
-33.31354484390177,-70.47529259493315
-33.53037618368254,-70.67393026243363
-33.35738296732658,-70.47535300341933
-33.53626314142071,-70.7274823355333
-33.399306671089164,-70.81007076745486
-33.435435706246054,-70.7183878109511
-33.42775061481075,-70.7605942689804
-33.53108756902836,-70.54678543464176
-33.34010155221841,-70.68195162582569
-33.52572718096081,-70.75122587265042
-33.458195522522445,-70.62555931180002
-33.56859269004805,-70.47951802045628
-33.56883696275387,-70.72343937669602
-33.49306675269807,-70.68356513987746
-33.32732864024518,-70.4877043134975
-33.621935962526244,-70.55418519186716
-33.55462592170334,-70.58907138487298
-33.39823991231362,-70.58404034147291
-33.33129681765455,-70.54077551148978
-33.474610914005375,-70.78090049934764
-33.345312429812644,-70.70159258077798
-33.41350360611827,-70.69642865473364
-33.48383831308437,-70.57044123041362
